frame,ID,x,y,w,h,scenefolderpath,crossing_true,filename
0,pedestrian,1427.0,579.0,91.0,218.0,D:\pedestrian\JAAD\images\video_0088,0,00000.png
1,pedestrian,1430.0,578.0,92.0,220.0,D:\pedestrian\JAAD\images\video_0088,0,00001.png
2,pedestrian,1432.0,578.0,93.0,222.0,D:\pedestrian\JAAD\images\video_0088,0,00002.png
3,pedestrian,1435.0,577.0,93.0,225.0,D:\pedestrian\JAAD\images\video_0088,0,00003.png
4,pedestrian,1438.0,577.0,94.0,227.0,D:\pedestrian\JAAD\images\video_0088,0,00004.png
5,pedestrian,1440.0,576.0,95.0,229.0,D:\pedestrian\JAAD\images\video_0088,0,00005.png
6,pedestrian,1443.0,576.0,96.0,231.0,D:\pedestrian\JAAD\images\video_0088,0,00006.png
7,pedestrian,1446.0,575.0,96.0,234.0,D:\pedestrian\JAAD\images\video_0088,0,00007.png
8,pedestrian,1448.0,575.0,97.0,236.0,D:\pedestrian\JAAD\images\video_0088,0,00008.png
9,pedestrian,1451.0,574.0,98.0,238.0,D:\pedestrian\JAAD\images\video_0088,0,00009.png
10,pedestrian,1454.0,573.0,99.0,239.0,D:\pedestrian\JAAD\images\video_0088,0,00010.png
11,pedestrian,1456.0,572.0,99.0,240.0,D:\pedestrian\JAAD\images\video_0088,0,00011.png
12,pedestrian,1459.0,571.0,100.0,241.0,D:\pedestrian\JAAD\images\video_0088,0,00012.png
13,pedestrian,1462.0,570.0,101.0,242.0,D:\pedestrian\JAAD\images\video_0088,0,00013.png
14,pedestrian,1465.0,569.0,102.0,243.0,D:\pedestrian\JAAD\images\video_0088,0,00014.png
15,pedestrian,1467.0,568.0,102.0,244.0,D:\pedestrian\JAAD\images\video_0088,0,00015.png
16,pedestrian,1470.0,567.0,103.0,245.0,D:\pedestrian\JAAD\images\video_0088,0,00016.png
17,pedestrian,1473.0,566.0,104.0,246.0,D:\pedestrian\JAAD\images\video_0088,0,00017.png
18,pedestrian,1475.0,565.0,104.0,247.0,D:\pedestrian\JAAD\images\video_0088,0,00018.png
19,pedestrian,1478.0,564.0,105.0,248.0,D:\pedestrian\JAAD\images\video_0088,0,00019.png
20,pedestrian,1480.0,563.0,105.0,249.0,D:\pedestrian\JAAD\images\video_0088,0,00020.png
21,pedestrian,1483.0,562.0,105.0,250.0,D:\pedestrian\JAAD\images\video_0088,0,00021.png
